Ticker,CompanyName,Industry,CallDate,PriceAtCall,TargetPrice,Upside,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
ABT,Abbott Laboratories,Healthcare,MAR '24,105.00,132.00,+25.7%,105.0,107.0,113.0,116.0,115.0,118.0,121.0,126.0,128.0,130.0,132.0,132.0
LLY,Eli Lilly,Healthcare,JAN '24,720.00,960.00,+33.3%,720.0,725.0,750.0,780.0,820.0,850.0,855.0,880.0,885.0,910.0,945.0,960.0
ADMA,ADMA Biologics,Healthcare,APR '24,8.40,14.50,+72.6%,8.4,9.2,9.8,10.5,11.2,11.8,12.3,13.0,13.5,13.9,14.1,14.5
NVDA,NVIDIA,Technology,FEB '24,480.00,720.00,+50.0%,480.0,495.0,520.0,550.0,565.0,580.0,610.0,650.0,660.0,680.0,705.0,720.0
AAPL,Apple,Technology,MAY '24,178.00,215.00,+20.8%,178.0,184.0,184.0,186.0,194.0,192.0,198.0,204.0,210.0,212.0,212.0,215.0
APH,Amphenol,Technology,JUN '24,98.00,124.00,+26.5%,98.0,97.0,101.0,105.0,109.0,112.0,114.0,118.0,121.0,123.0,125.0,124.0
PANW,Palo Alto Networks,Technology,MAR '24,285.00,360.00,+26.3%,285.0,289.0,298.0,299.0,318.0,324.0,331.0,334.0,336.0,348.0,358.0,360.0
META,Meta Platforms,Technology,FEB '24,395.00,510.00,+29.1%,395.0,405.0,418.0,436.0,438.0,458.0,458.0,476.0,492.0,504.0,502.0,510.0
ABNB,Airbnb,Consumer Cyclical,JUL '24,142.00,168.00,+18.3%,142.0,145.0,149.0,148.0,154.0,158.0,157.0,161.0,164.0,166.0,167.0,168.0
NFLX,Netflix,Communication Services,APR '24,545.00,690.00,+26.6%,545.0,568.0,575.0,598.0,592.0,606.0,620.0,636.0,636.0,648.0,672.0,690.0
IONQ,IonQ,Technology,AUG '24,9.20,16.40,+78.3%,9.2,10.0,10.8,11.4,12.0,12.6,13.3,14.0,14.6,15.2,15.8,16.4
TSLA,Tesla,Automotive,SEP '24,210.00,268.00,+27.6%,210.0,218.0,226.0,232.0,230.0,236.0,244.0,248.0,254.0,258.0,261.0,268.0
HON,Honeywell,Industrials,JUN '24,198.00,232.00,+17.2%,198.0,201.0,206.0,212.0,209.0,222.0,220.0,227.0,231.0,231.0,229.0,232.0
NOC,Northrop Grumman,Industrials,MAY '24,458.00,540.00,+17.9%,458.0,465.0,480.0,494.0,490.0,504.0,518.0,524.0,532.0,538.0,539.0,540.0
AMZN,Amazon,Consumer Cyclical,MAR '24,175.00,218.00,+24.6%,175.0,184.0,186.0,192.0,199.0,202.0,205.0,210.0,208.0,214.0,215.0,218.0
SBUX,Starbucks,Consumer Cyclical,OCT '24,92.00,112.00,+21.7%,92.0,90.0,92.0,97.0,99.0,102.0,105.0,105.0,108.0,110.0,112.0,112.0
WMT,Walmart,Consumer Defensive,JUL '24,68.00,84.00,+23.5%,68.0,67.0,70.0,74.0,73.0,76.0,77.0,79.0,81.0,83.0,82.0,84.0
